Market,Order Quantity,Entry Price,Exit Price,Opening Fee,Closing Fee,Funding Fee,cumClosedPzOpenFeeInfo,cumClosedPzTradeFeeInfo,Trade Type,Realized P&L,Trade time
COINAUSDT,14.1990,101.69000000,99.26000000,0.79414297,0.77516601,-0.03873648,"{""USDT"":""0.79414297""}","{""USDT"":""0.77516601""}",Trade,-36.03414249,01:00 2026-02-23
COINAUSDT,18.9620,102.81000000,103.54000000,0.38989664,1.07982901,0.44024773,"{""USDT"":""0.38989664""}","{""USDT"":""1.07982901""}",Trade,11.93228661,12:00 2026-02-21
COINBUSDT,591.3000,2.60820000,2.54970000,0.30844573,0.82920069,0.20351436,"{""USDT"":""0.30844573""}","{""USDT"":""0.82920069""}",Trade,-35.93221078,08:00 2026-02-19
COINAUSDT,14.8760,102.26000000,99.21000000,0.83667087,0.81171638,-0.01379158,"{""USDT"":""0.83667087""}","{""USDT"":""0.81171638""}",Trade,43.73720434,12:00 2026-02-17
COINAUSDT,4.8390,100.59000000,101.65000000,0.26771526,0.09837687,0.01045374,"{""USDT"":""0.26771526""}","{""USDT"":""0.09837687""}",Trade,-5.50588586,14:00 2026-02-15
COINCUSDT,2268.0000,0.36702000,0.35772000,0.45782075,0.44621993,-0.07353235,"{""USDT"":""0.45782075""}","{""USDT"":""0.44621993""}",Trade,20.26189167,12:00 2026-02-13
COINAUSDT,4.2820,100.10000000,103.34000000,0.08572564,0.24337603,-0.08175689,"{""USDT"":""0.08572564""}","{""USDT"":""0.24337603""}",Trade,-14.12102479,02:00 2026-02-12
COINAUSDT,5.9520,97.92000000,98.05000000,0.32055091,0.32097648,0.02356601,"{""USDT"":""0.32055091""}","{""USDT"":""0.32097648""}",Trade,0.10866659,23:00 2026-02-09
COINCUSDT,2671.0000,0.36790000,0.37319000,0.54046350,0.54823477,0.00000000,"{""USDT"":""0.5404635""}","{""USDT"":""0.54823477""}",Trade,13.04089174,23:00 2026-02-08
COINAUSDT,8.8420,97.81000000,89.01000000,0.47565981,0.43286453,-0.03429477,"{""USDT"":""0.47565981""}","{""USDT"":""0.43286453""}",Liquidation,-78.68382957,17:00 2026-02-07
COINAUSDT,14.6210,96.76000000,94.58000000,0.77810038,0.76056980,-0.07575230,"{""USDT"":""0.77810038""}","{""USDT"":""0.7605698""}",Trade,30.41086213,11:00 2026-02-06
COINCUSDT,6359.0000,0.37439000,0.37615000,1.30941031,1.31556582,-0.03351061,"{""USDT"":""1.30941031""}","{""USDT"":""1.31556582""}",Trade,-13.78330551,06:00 2026-02-05
COINCUSDT,4450.0000,0.37922000,0.37213000,0.92814095,0.91078818,0.04110181,"{""USDT"":""0.92814095""}","{""USDT"":""0.91078818""}",Trade,-33.43053093,12:00 2026-02-04
COINAUSDT,12.8220,99.33000000,97.22000000,0.70048509,0.68560516,-0.09696474,"{""USDT"":""0.70048509""}","{""USDT"":""0.68560516""}",Trade,-28.34354551,03:00 2026-02-04
