Market,Filled Type,Filled Quantity,Filled Price,Order Price,Fee Rate,Trading Fee,feeCoin,ExecFeeV2,Direction,Order Type,Trasaction ID,Order No.,Transaction Time(UTC+0)
COINAUSDT,Trade,14.199,99.26,98.86,0.00055,0.77516601,USDT,0.77516601,Short,Market, 134b5dbd, 8754f32a,01:00 2026-02-23
COINAUSDT,Funding,14.199,101.69,0,-0.00001584,-0.02286519,USDT,-0.02286519,Long,--, a85f89a5, 388132a9,00:00 2026-02-23
COINAUSDT,Funding,14.199,101.69,0,-0.00001099,-0.01587129,USDT,-0.01587129,Long,--, cc66dceb, 9395358d,16:00 2026-02-22
COINAUSDT,Trade,14.199,101.69,102.10,0.00055,0.79414297,USDT,0.79414297,Long,Market, 7dd2f089, da418a18,10:00 2026-02-22
COINAUSDT,Trade,18.962,103.54,103.13,0.00055,1.07982901,USDT,1.07982901,Short,Market, 54852422, 8892a1fd,12:00 2026-02-21
COINAUSDT,Funding,18.962,102.81,0,0.00010478,0.20426972,USDT,0.20426972,Long,--, 1075195e, 94180411,08:00 2026-02-21
COINAUSDT,Funding,18.962,102.81,0,0.00008942,0.17432084,USDT,0.17432084,Long,--, 067b78f3, d52d308c,00:00 2026-02-21
COINAUSDT,Funding,18.962,102.81,0,-0.00002634,-0.05135688,USDT,-0.05135688,Long,--, a3455772, 01984178,16:00 2026-02-20
COINAUSDT,Funding,18.962,102.81,0,0.00005797,0.11301406,USDT,0.11301406,Long,--, e291c0ac, c4946ef7,08:00 2026-02-20
COINAUSDT,Trade,18.962,102.81,102.81,0.0002,0.38989664,USDT,0.38989664,Long,Limit, 5c89f073, 5600475c,06:00 2026-02-20
COINBUSDT,Trade,591.3,2.5497,2.5395,0.00055,0.82920069,USDT,0.82920069,Short,Market, 36ff61eb, 758426c6,08:00 2026-02-19
COINBUSDT,Funding,591.3,2.6082,0,0.00001599,0.02466815,USDT,0.02466815,Long,--, 1436af78, 4bca29c5,00:00 2026-02-19
COINBUSDT,Funding,591.3,2.6082,0,0.00006399,0.09868486,USDT,0.09868486,Long,--, dfc34ec8, 288f16f0,16:00 2026-02-18
COINBUSDT,Funding,591.3,2.6082,0,0.00005198,0.08016136,USDT,0.08016136,Long,--, 3adcd0ac, 6dbd1599,08:00 2026-02-18
COINBUSDT,Trade,591.3,2.6082,2.6082,0.0002,0.30844573,USDT,0.30844573,Long,Limit, a5eabfcb, 75a1e5a6,05:00 2026-02-18
COINAUSDT,Trade,14.876,99.21,99.61,0.00055,0.81171638,USDT,0.81171638,Long,Market, 85644453, cbddd109,12:00 2026-02-17
COINAUSDT,Funding,14.876,102.26,0,0.00002074,0.03155573,USDT,0.03155573,Short,--, a9409277, 5e1cc0df,08:00 2026-02-17
COINAUSDT,Funding,14.876,102.26,0,-0.00003866,-0.05881513,USDT,-0.05881513,Short,--, 0cef6fa7, 4395a7fe,00:00 2026-02-17
COINAUSDT,Funding,14.876,102.26,0,0.00001974,0.0300208,USDT,0.0300208,Short,--, 8375af8e, 14f50617,16:00 2026-02-16
COINAUSDT,Funding,14.876,102.26,0,-0.00001088,-0.01655298,USDT,-0.01655298,Short,--, 14f4bde5, e271c6a2,08:00 2026-02-16
COINAUSDT,Trade,14.876,102.26,101.85,0.00055,0.83667087,USDT,0.83667087,Short,Market, e1b34ec7, 19141366,04:00 2026-02-16
COINAUSDT,Trade,4.839,101.65,101.65,0.0002,0.09837687,USDT,0.09837687,Long,Limit, f13aff1d, 7e47ad9e,14:00 2026-02-15
COINAUSDT,Funding,4.839,100.59,0,-0.00000009,-0.00004463,USDT,-0.00004463,Short,--, 6f1f0bf3, b1a17dab,08:00 2026-02-15
COINAUSDT,Funding,4.839,100.59,0,0.00002157,0.01049837,USDT,0.01049837,Short,--, 11dd83e5, 22184ad4,00:00 2026-02-15
COINAUSDT,Trade,4.839,100.59,100.19,0.00055,0.26771526,USDT,0.26771526,Short,Market, c0eee339, 1b5067ad,17:00 2026-02-14
COINCUSDT,Trade,2268,0.35772,0.35915,0.00055,0.44621993,USDT,0.44621993,Long,Market, b3cc711d, 2a97d41e,12:00 2026-02-13
COINCUSDT,Funding,2268,0.36702,0,-0.00004905,-0.0408272,USDT,-0.0408272,Short,--, bdc1371a, 3bbf7934,08:00 2026-02-13
COINCUSDT,Funding,2268,0.36702,0,-0.00000658,-0.00547825,USDT,-0.00547825,Short,--, af4b037b, 87e9ddba,00:00 2026-02-13
COINCUSDT,Funding,2268,0.36702,0,-0.00003271,-0.02722691,USDT,-0.02722691,Short,--, 0bd10ce2, 8dcf2084,16:00 2026-02-12
COINCUSDT,Trade,2268,0.36702,0.36555,0.00055,0.45782075,USDT,0.45782075,Short,Market, b4b0da9f, ebc87426,12:00 2026-02-12
COINAUSDT,Trade,4.282,103.34,103.75,0.00055,0.24337603,USDT,0.24337603,Long,Market, b149b597, ad1b1713,02:00 2026-02-12
COINAUSDT,Funding,4.282,100.1,0,-0.00011437,-0.04902202,USDT,-0.04902202,Short,--, e93b1c2c, 138e5814,00:00 2026-02-12
COINAUSDT,Funding,4.282,100.1,0,0.00002415,0.01035307,USDT,0.01035307,Short,--, 865b9cb3, 09ed8cdc,16:00 2026-02-11
COINAUSDT,Funding,4.282,100.1,0,-0.00002986,-0.01279842,USDT,-0.01279842,Short,--, a833a9fb, 9cf101c5,08:00 2026-02-11
COINAUSDT,Funding,4.282,100.1,0,-0.00007066,-0.03028951,USDT,-0.03028951,Short,--, 5457b190, e6681989,00:00 2026-02-11
COINAUSDT,Trade,4.282,100.10,100.10,0.0002,0.08572564,USDT,0.08572564,Short,Limit, bad8843d, db103022,23:00 2026-02-10
COINAUSDT,Trade,5.952,98.05,97.66,0.00055,0.32097648,USDT,0.32097648,Short,Market, f9a28557, ba717eaa,23:00 2026-02-09
COINAUSDT,Funding,5.952,97.92,0,0.00004044,0.02356601,USDT,0.02356601,Long,--, 84d9b4af, b6b263d6,16:00 2026-02-09
